28070;28;Champhol;3591;20;153;11,40%;;;;13016;;10;68;1;0;0;0;0
28110;28;Le Coudray;4166;20;312;18,18%;;;;4274;4274;1;169;66;0;3;1;0
28209;28;L�ves;5637;20;375;17,16%;;;;7304,8;;23;122;39;0;0;6;0
28220;28;Luisant;6757;20;518;17,45%;;;;11716,52;;11;39;27;0;0;1;0
29011;29;Bohars;3512;20;108;8,40%;;;;21992;21992;18;79;0;0;0;10;1
29051;29;Ergu�-Gab�ric;8140;20;517;15,21%;;;;35084;28751,33;59;413;27;0;0;15;0
29061;29;Gouesnou;5982;20;303;11,99%;;;;37598;34909;33;249;0;0;0;4;12
29069;29;Guilers;7703;20;373;12,06%;;;;36735;36735;37;280;1;12;0;3;0
29075;29;Guipavas;13586;20;647;11,16%;;;;95869;95869;92;422;62;44;0;12;15
29170;29;Plomelin;4155;20;274;14,88%;;;;19962;;25;147;0;0;0;8;23
29189;29;Plougastel-Daoulas;13080;20;583;10,30%;;;;90398;;86;283;0;0;0;8;68
29199;29;Plouigneau;4817;20;139;6,71%;;;;33754,8;;7;54;3;0;0;18;56
29207;29;Plourin-l�s-Morlaix;4295;20;260;13,22%;;;;17857,91;;5;115;0;0;0;2;101
29212;29;Plouzan�;12005;20;841;16,32%;;;exon�r�e;;;27;505;2;0;0;4;301
29216;29;Pluguffan;3735;20;211;12,36%;;;;23309;;32;148;5;0;0;12;14
29235;29;Le Relecq-Kerhuon;11175;20;874;17,34%;;;exon�r�e;;;102;355;0;0;0;12;340
29254;29;Saint-Martin-des-Champs;4722;20;270;11,42%;;;;43314,11;;26;44;8;0;0;11;0
30011;30;Les Angles;8318;25;341;8,05%;oui;117;;321205;257755;263;22;54;0;0;2;0
30047;30;Bouillargues;6240;20;102;3,91%;oui;19;;68493;;10;70;11;0;0;10;1
30060;30;Caissargues;3825;20;172;9,57%;;;;31380;31380;27;125;17;0;1;2;0
30075;30;Caveirac;3900;20;25;1,51%;;;;39520;;20;3;0;0;2;0;0
30082;30;Clarensac;4037;20;42;2,59%;;;;29249;29249;2;26;13;0;0;1;0
30125;30;Garons;4617;20;90;4,87%;;;;36403;;7;48;12;21;0;2;0
